phot_g_mean_mag,bp_rp
16.915195,1.2092495
13.323234,0.7663202
16.091211,1.253622
17.080074,1.2378006
16.097258,1.2768297
18.022755,
14.868509,1.4693689
16.82511,1.232378
18.643162,1.4819736
14.861245,1.458622
17.10975,1.2351608
17.431637,1.2798862
15.988324,1.3094988
17.390387,1.2650452
17.34689,1.3776207
16.592642,1.3265648
19.365162,1.0895977
16.671638,1.1904058
16.608734,1.3861971
16.109594,1.3184948
15.8281,1.5965557
16.055037,1.3855715
17.36445,1.3391476
16.127583,1.3907471
16.764122,1.2882195
15.903714,1.1692543
12.731107,1.689868
17.191376,1.3584957
16.18115,1.3126469
16.991081,1.2808437
14.175753,1.5504684
16.79927,1.3153038
17.621088,1.2365818
12.832559,1.3995848
17.797209,
14.113454,1.5706282
13.097184,0.9643774
15.191852,1.368475
